M,5,6,7,4,5,9,6,2,4,9,6,7,7,6,2,7
C,2,3,3,4,1,5,8,6,8,7,7,12,1,7,4,9
I,7,13,6,7,3,12,5,2,6,12,3,6,2,10,4,12
P,4,10,5,8,5,6,9,6,5,9,7,4,5,10,4,7
R,3,6,5,4,3,10,7,3,6,10,2,7,3,7,3,10
I,2,7,3,5,1,9,6,0,7,13,5,8,0,8,1,8
H,5,7,8,5,5,9,7,3,6,10,4,7,5,8,4,9
V,4,8,6,6,3,7,11,2,3,5,11,9,2,10,1,8
J,2,5,4,3,1,7,7,3,6,14,6,10,1,6,1,7
D,3,8,5,6,4,8,8,4,5,9,5,4,3,8,3,7
J,1,6,2,4,1,14,2,6,5,13,1,9,0,7,0,8
J,4,7,5,5,2,7,7,3,6,15,6,10,1,6,1,7
L,5,9,7,7,5,8,4,1,8,9,2,10,1,6,3,9
W,3,3,4,2,2,9,11,3,2,5,9,8,6,11,0,8
C,4,7,5,5,3,6,7,6,9,8,4,10,1,10,4,10
Q,4,6,4,8,5,8,8,6,2,8,8,10,3,9,5,8
P,4,2,5,4,3,5,10,5,4,10,8,4,1,10,3,7
K,5,9,7,6,5,4,7,2,7,10,10,12,3,8,3,6
Z,3,5,5,7,4,9,5,4,4,7,3,6,2,8,7,6
T,7,9,6,5,2,4,12,3,6,13,8,4,2,8,4,3
C,2,3,2,1,1,4,10,5,6,12,9,9,1,9,2,7
K,5,7,8,5,5,7,6,1,7,10,6,10,4,7,4,9
G,2,3,3,2,1,6,7,5,5,9,7,10,1,8,4,10
E,2,3,4,2,2,7,7,2,7,11,7,9,2,8,4,8
S,3,7,4,5,2,7,7,5,8,5,6,8,0,8,9,8
O,5,5,7,4,4,7,6,5,5,9,5,9,3,6,5,6
Y,2,3,3,5,0,7,10,1,3,7,12,8,1,11,0,8
Z,1,3,3,2,1,8,7,1,9,11,6,8,1,8,5,7
L,4,10,4,7,1,0,1,5,6,0,0,6,0,8,0,8
A,3,9,5,7,3,9,3,2,2,8,1,8,2,6,3,7
P,6,6,8,9,8,7,9,3,2,8,8,6,8,11,6,5
U,4,4,4,3,2,5,8,5,7,10,9,9,3,9,2,6
U,7,11,6,6,4,6,5,5,4,7,9,10,6,7,3,10
F,2,4,4,2,2,6,10,3,5,13,6,5,1,9,1,7
A,4,9,5,6,4,7,5,3,0,6,1,8,2,7,1,7
D,5,10,8,8,6,10,6,3,7,11,4,7,4,7,3,9
Z,4,5,5,7,2,7,7,4,15,9,6,8,0,8,8,8
D,3,6,3,4,2,6,8,9,8,8,7,6,3,8,3,8
H,5,9,6,7,5,7,8,13,1,7,6,8,3,8,0,8
P,6,8,8,6,4,9,8,4,7,12,4,5,4,8,5,8
L,2,7,2,5,1,0,1,5,6,0,0,7,0,8,0,8
E,3,2,4,3,3,7,7,5,8,7,5,8,2,8,6,9
T,3,5,4,6,1,5,14,1,6,9,11,7,0,8,0,8
L,4,8,6,7,5,7,7,4,5,6,7,9,4,8,8,8
G,1,3,2,2,1,7,6,5,4,7,6,10,2,9,3,9
O,4,10,5,7,2,7,7,9,7,7,7,8,3,8,4,8
J,4,6,3,8,2,9,7,3,4,10,5,5,2,9,5,9
Y,4,10,6,8,3,7,10,1,7,7,12,8,1,11,2,8
B,10,15,10,8,8,9,7,4,5,9,5,7,7,5,9,8
E,3,8,5,6,5,6,7,3,6,7,7,11,4,10,9,8
H,3,6,5,4,4,6,7,7,6,7,6,11,3,8,3,10
B,4,10,5,8,4,6,6,10,7,6,7,7,2,8,9,9
C,3,4,4,6,1,5,7,6,9,7,6,14,1,9,4,9
C,7,10,7,7,4,4,10,7,8,12,10,9,2,10,3,6
C,1,1,2,1,0,6,7,6,9,7,6,14,0,8,4,10
P,3,5,5,4,3,7,10,4,4,12,4,3,1,10,3,8
A,3,7,5,5,3,12,3,2,2,9,2,9,2,5,2,8
I,2,6,2,4,1,9,5,0,6,13,5,9,0,8,1,8
W,4,7,6,5,4,5,11,2,3,8,9,9,7,11,1,8
D,3,1,4,2,2,7,7,6,7,6,5,5,2,8,3,7
F,3,4,3,5,1,1,12,5,4,11,10,7,0,8,3,6
C,1,0,2,1,0,6,7,6,8,7,6,14,0,8,4,10
G,4,10,6,7,8,7,5,4,3,7,5,10,8,7,8,13
P,3,6,4,4,2,5,12,7,3,12,6,3,1,10,4,7
Z,5,10,6,8,6,9,6,5,9,8,5,7,1,7,7,8
Q,4,8,6,7,4,8,7,8,5,6,5,9,2,8,4,9
Q,5,6,8,6,6,8,4,4,4,7,4,10,6,6,7,7
S,3,5,4,7,2,9,9,6,10,5,6,5,0,7,9,7
F,3,5,5,3,2,6,12,3,5,13,7,3,1,10,2,6
U,5,10,7,7,6,7,8,4,7,4,7,9,6,10,1,8
R,3,5,6,4,4,8,7,3,5,10,4,6,3,7,4,10
I,4,8,5,6,3,8,9,1,7,7,6,7,0,7,4,7
L,6,11,9,8,11,7,8,3,6,5,7,10,6,12,10,6
A,5,10,8,8,5,11,3,1,2,8,2,9,4,6,3,8
A,4,6,6,5,5,8,8,3,5,7,8,7,5,10,4,6
G,6,9,7,7,8,8,6,4,2,6,6,10,7,7,7,13
W,3,8,5,6,5,9,11,2,2,5,8,8,6,11,1,8
V,5,10,5,8,4,3,11,2,3,9,11,8,2,11,1,8
C,5,7,6,5,6,6,6,4,3,7,6,11,5,9,3,9
T,4,9,5,7,4,9,11,3,7,5,11,8,2,12,1,8
B,3,9,5,6,5,8,7,6,6,7,6,5,2,8,6,9
V,4,9,6,7,1,8,8,5,3,6,14,8,3,9,0,8
A,2,4,4,3,2,10,2,2,2,9,2,9,2,6,2,8
I,1,3,1,2,0,7,7,1,7,7,6,9,0,8,2,8
I,2,6,4,4,3,11,6,1,5,9,4,5,1,8,5,9
E,4,9,6,7,5,7,7,2,7,11,7,9,3,8,4,8
V,9,14,8,8,5,6,8,4,4,8,8,5,6,12,3,8
I,3,10,4,7,2,7,7,0,8,14,6,8,0,8,1,8
Z,2,3,4,2,1,8,6,2,8,11,5,9,1,8,5,8
H,3,8,4,6,4,7,7,13,1,7,6,8,3,8,0,8
O,2,1,3,2,1,7,7,7,6,7,6,8,2,8,3,8
O,2,2,3,4,2,7,7,8,4,7,6,8,2,8,3,8
A,1,0,2,0,0,7,4,2,0,7,2,8,2,6,1,8
M,6,9,9,6,10,10,3,3,2,9,4,8,11,5,3,7
J,6,8,8,9,7,8,9,5,5,7,7,9,4,6,9,6
Y,3,5,5,8,6,7,10,3,2,7,8,9,3,11,8,5
E,4,9,4,7,3,3,8,6,12,7,5,15,0,8,7,7
W,3,3,4,2,2,3,10,3,2,10,10,8,5,11,1,6
L,2,3,3,2,1,7,4,1,8,8,2,10,0,7,2,8
M,6,10,7,8,4,7,7,13,2,8,9,8,9,6,0,8
H,4,5,4,8,3,7,8,15,1,7,5,8,3,8,0,8
L,6,11,8,9,6,10,3,1,7,10,2,10,3,6,4,10
B,3,5,5,3,4,9,7,3,5,10,5,7,2,8,5,9
M,2,3,3,1,2,6,6,7,4,7,7,10,7,5,2,9
J,2,3,3,5,1,12,2,9,4,13,5,13,1,6,0,8
I,1,6,1,4,1,7,7,0,7,7,6,9,0,8,3,8
M,3,7,4,5,3,8,7,11,1,6,9,8,8,6,0,8
M,4,8,4,6,3,8,7,12,1,6,9,8,8,6,0,8
S,4,10,5,7,4,7,7,5,8,4,6,10,1,10,9,9
N,4,9,5,7,3,7,7,14,2,4,6,8,6,8,0,8
R,5,6,7,6,7,5,7,4,4,6,5,9,7,9,6,9
O,4,9,3,5,3,6,8,6,4,9,7,9,5,9,4,8
R,4,6,5,4,4,6,8,5,6,7,5,7,3,7,5,8
R,3,7,3,4,2,5,10,8,4,7,4,8,3,7,5,11
E,2,3,3,2,2,8,7,1,7,11,5,8,2,8,4,10
O,4,11,5,8,4,7,7,9,5,7,6,8,3,8,3,8
B,5,9,7,7,5,8,8,4,7,10,5,5,2,8,6,10
I,1,7,0,4,0,7,7,4,4,7,6,8,0,8,0,8
B,5,11,5,8,4,6,8,10,7,7,5,7,3,8,9,10
B,3,2,3,3,3,7,7,5,5,6,6,6,2,8,6,9
L,2,5,4,3,2,7,4,1,8,8,2,10,0,7,2,8
F,4,8,4,6,3,1,11,4,6,11,10,9,0,8,2,7
F,8,15,7,8,5,8,10,3,5,12,5,4,4,9,7,7
G,3,4,4,3,2,6,6,6,6,6,6,10,2,9,3,9
Y,1,1,2,1,0,8,10,3,1,6,12,8,1,11,0,8
Z,5,10,6,8,3,7,7,4,15,9,6,8,0,8,8,8
X,4,6,5,4,3,7,8,1,8,10,7,8,3,8,3,7
Y,4,7,6,5,3,10,10,1,6,2,10,8,1,11,1,9
X,3,2,5,4,3,8,7,3,9,6,6,8,3,8,6,8
A,4,8,5,6,4,8,3,1,2,6,2,8,2,6,2,6
I,2,5,3,3,1,7,7,0,7,13,6,8,0,8,1,7
N,4,7,7,5,6,7,8,3,5,7,6,7,6,8,7,4
T,3,4,4,3,2,5,12,3,6,11,9,4,1,11,1,5
Z,4,7,5,5,4,9,8,5,3,7,5,7,3,7,8,4
O,3,6,4,4,3,7,8,6,4,10,7,6,3,9,3,8
T,4,9,5,6,3,5,13,6,4,11,9,4,3,12,2,4
Y,4,5,5,4,2,4,11,3,6,12,11,5,1,11,2,5
C,3,2,4,4,2,5,8,7,7,9,8,13,1,9,4,10
V,3,5,4,3,2,4,12,2,3,9,11,7,3,10,1,7
Z,3,4,4,6,2,7,7,4,13,10,6,8,0,8,8,8
E,3,6,4,4,4,8,7,6,2,7,6,11,3,8,7,10
P,3,7,5,5,3,9,8,2,5,12,4,5,1,10,2,9
W,5,8,7,6,5,8,8,4,1,7,9,8,7,11,0,8
I,2,5,3,4,1,7,7,0,8,13,6,8,0,8,1,8
X,6,9,9,7,5,4,8,2,8,10,12,11,3,8,3,5
B,1,0,1,0,1,7,7,6,4,7,6,7,1,8,6,9
P,5,8,7,6,5,8,9,5,4,11,4,4,2,10,3,8
U,4,9,5,7,4,7,6,11,4,6,13,8,3,9,0,8
M,7,8,10,6,7,12,6,3,5,9,2,5,9,6,2,8
M,5,9,6,5,3,11,3,2,2,10,3,9,7,2,1,9
S,2,7,3,5,2,6,7,5,8,6,7,11,0,9,8,7
W,5,9,7,7,7,8,5,7,2,6,7,8,7,7,5,3
D,5,5,6,8,3,5,7,10,9,7,6,5,3,8,4,8
H,5,7,7,5,5,7,7,3,6,10,5,8,3,8,3,8
F,3,7,4,4,1,2,12,5,6,12,10,8,0,8,2,6
Z,3,4,4,6,2,7,7,4,14,9,6,8,0,8,8,8
R,2,4,3,3,2,7,8,5,4,6,5,6,2,7,4,8
D,4,7,4,5,2,5,6,10,9,5,5,6,3,8,4,8
Y,4,5,5,4,2,4,12,3,7,12,10,4,1,11,2,5
Y,6,9,6,7,4,5,9,0,8,8,9,5,1,11,4,5
D,5,10,5,5,3,7,7,4,6,9,6,6,5,9,7,5
K,5,7,7,6,6,10,5,3,3,10,3,8,5,7,6,12
H,5,10,6,7,3,7,6,15,1,7,8,8,3,8,0,8
J,2,10,3,8,2,9,6,2,6,11,3,8,1,6,2,6
R,2,1,2,2,2,6,7,5,5,6,5,6,2,7,4,8
E,5,8,7,6,5,6,8,3,8,11,8,9,3,9,5,7
C,2,3,3,1,1,5,9,4,6,11,9,11,1,9,2,8
U,5,9,5,6,4,7,5,14,5,7,11,8,3,9,0,8
R,3,7,4,5,4,6,9,8,3,7,5,8,2,7,5,11
C,2,1,2,2,1,6,8,7,7,8,7,13,1,8,4,10
C,3,6,5,5,4,6,6,4,5,7,6,11,4,10,7,10
V,6,8,6,6,2,3,12,5,4,12,12,7,3,10,1,8
A,2,7,3,5,2,12,3,2,2,10,2,9,2,6,2,8
J,2,6,3,4,1,13,2,8,4,14,4,12,0,7,0,8
G,7,12,6,6,4,6,7,7,5,9,7,6,4,8,5,6
Q,3,3,4,4,3,8,7,6,2,8,7,10,2,8,4,9
Y,3,5,5,3,2,7,10,1,7,7,11,8,1,11,2,8
M,2,1,2,1,1,8,6,10,0,6,9,8,6,6,0,8
G,2,1,3,2,2,7,7,5,4,7,6,9,3,6,4,9
Q,2,1,2,1,1,8,7,6,4,6,6,8,2,8,3,8
Z,3,8,4,6,2,7,7,4,13,9,6,8,0,8,8,8
X,7,11,7,6,3,4,8,3,9,9,11,10,4,11,4,5
S,4,6,5,4,3,9,8,3,7,10,4,7,2,7,4,9
B,1,0,2,1,1,7,7,7,4,7,6,7,1,8,6,8
N,5,6,7,4,6,5,9,3,4,8,7,9,6,8,4,4
F,4,7,6,5,3,7,10,3,6,13,5,4,2,10,2,7
T,3,11,4,8,1,6,14,0,6,8,11,8,0,8,0,8
E,2,3,4,2,2,7,7,2,8,11,6,8,1,8,4,8
U,4,9,5,7,3,8,8,7,7,6,10,8,3,9,1,8
O,4,6,4,4,3,8,7,7,6,9,5,7,3,8,3,8
A,3,8,5,6,2,7,6,3,1,7,0,8,2,7,1,8
G,5,9,5,6,3,6,7,7,7,10,7,10,2,9,4,9
Q,2,4,3,4,3,8,8,6,3,8,6,9,2,9,4,9
E,5,10,8,8,9,7,8,3,6,6,7,11,4,11,8,7
H,6,9,9,7,7,8,6,2,6,10,6,9,3,8,4,7
V,4,10,6,8,3,5,11,3,5,10,12,9,3,10,1,8
F,4,7,6,5,3,8,9,3,6,13,6,5,2,10,3,8
H,5,6,8,4,5,8,7,3,6,10,5,8,4,9,4,8
S,1,0,2,0,0,8,8,4,6,5,6,7,0,8,7,8
J,2,8,3,6,2,9,6,2,7,12,3,8,1,6,1,6
Q,7,8,7,10,6,7,8,6,4,8,9,10,4,8,8,8
A,3,5,4,4,3,8,8,2,4,7,8,8,4,9,3,6
N,4,9,6,7,4,7,8,6,5,7,7,7,6,9,2,6
X,3,3,5,2,2,7,8,1,8,10,7,8,2,8,3,7
I,1,3,1,2,1,8,7,1,7,7,6,7,0,8,2,7
B,5,9,6,7,5,7,9,9,8,7,5,7,2,8,9,10
W,5,5,8,4,8,7,7,5,5,6,6,8,8,10,7,10
S,3,4,4,6,2,8,7,6,9,4,6,7,0,8,9,8
R,5,8,7,6,7,8,8,7,4,8,5,6,4,7,7,11
Z,4,8,5,6,5,8,8,3,8,7,7,7,0,8,11,8
S,3,6,4,4,2,7,7,5,8,5,6,9,0,9,9,8
Q,2,2,3,3,2,7,9,4,2,7,8,10,2,9,4,8
N,5,5,5,8,3,7,7,15,2,4,6,8,6,8,0,8
T,2,9,4,6,1,9,14,0,6,5,11,8,0,8,0,8
U,2,3,2,1,1,7,8,6,7,8,9,7,3,10,1,8
N,5,11,6,9,3,7,7,15,2,4,6,8,6,8,0,8
R,2,0,2,1,1,7,11,8,2,7,5,8,2,7,4,10
M,7,10,10,7,7,9,6,2,5,9,5,7,8,6,2,8
I,3,9,4,6,2,7,8,0,8,14,6,6,0,8,1,7
A,2,4,3,3,1,11,3,3,2,11,2,9,2,6,2,9
Y,9,10,7,14,5,9,11,2,3,7,10,5,4,10,6,9
T,3,11,5,8,1,9,15,0,6,6,11,8,0,8,0,8
V,1,0,2,1,0,7,9,3,2,7,12,8,2,10,0,8
B,1,0,1,0,0,7,7,6,4,7,6,7,1,8,5,9
S,6,9,7,7,5,7,8,3,7,10,7,8,2,8,5,6
N,2,1,2,2,1,7,8,5,4,7,6,6,5,9,1,5
M,3,1,4,3,3,8,6,6,4,6,7,8,7,5,2,7
X,3,4,5,2,2,7,8,1,8,10,7,8,2,8,3,7
B,6,10,6,8,5,6,5,9,7,6,7,6,2,8,10,10
S,3,6,4,4,2,8,7,5,8,5,6,8,0,8,9,8
I,1,3,1,1,0,8,7,1,7,13,6,8,0,8,0,8
P,4,6,6,4,4,9,7,3,5,11,4,5,2,9,4,9
W,4,2,6,3,3,9,11,3,2,5,9,8,8,11,2,8
U,5,7,6,5,5,8,8,8,5,6,7,9,4,8,4,5
Y,4,10,7,7,1,7,10,2,2,7,13,8,2,11,0,8
O,5,9,6,6,3,7,7,8,8,7,6,8,3,8,4,8
K,5,6,7,4,5,6,7,1,6,10,6,10,4,8,4,8
U,5,8,5,6,2,7,4,14,5,7,14,8,3,9,0,8
M,2,4,3,3,3,8,6,6,4,6,7,6,6,6,2,6
Q,3,6,4,7,4,9,8,7,2,5,7,10,3,9,5,9
R,5,9,8,7,5,10,7,3,7,10,3,6,3,6,4,11
K,6,9,9,7,7,10,5,1,5,9,3,8,7,6,6,11
D,5,11,7,8,11,8,8,6,4,7,6,6,7,8,9,6
D,2,5,4,3,3,9,6,4,6,10,4,6,2,8,3,8
E,2,3,3,2,1,7,7,2,7,11,7,9,1,8,3,8
F,3,3,3,4,1,1,14,5,3,12,10,5,0,8,2,6
X,4,8,5,6,3,7,7,4,4,7,6,8,3,8,4,8
P,4,9,6,7,5,7,7,7,4,8,6,8,3,9,7,9
D,2,5,3,3,3,7,7,6,6,7,6,5,2,8,2,7
U,5,10,6,8,2,7,5,13,6,8,15,8,3,9,0,8
Q,5,7,6,9,7,9,7,7,2,5,6,10,3,9,6,9
Y,4,11,6,8,2,9,10,1,3,6,12,8,1,11,0,8
C,6,10,6,7,3,4,8,6,8,12,10,12,1,9,3,7
N,3,6,4,4,2,7,7,14,2,5,6,8,6,8,0,8
Y,3,7,5,5,2,7,10,2,2,7,12,8,1,11,0,8
J,2,8,2,6,1,14,3,4,5,12,1,9,0,7,0,8
E,4,10,4,7,3,3,8,6,11,7,5,15,0,8,7,7
D,4,6,6,6,5,6,7,5,6,6,5,7,4,7,5,5
G,4,7,5,5,3,6,7,6,7,10,7,11,2,9,4,9
K,5,10,7,7,9,8,8,3,4,6,6,9,10,10,7,7
D,4,9,5,6,8,8,10,5,4,8,6,5,6,10,9,6
O,2,4,3,3,2,7,7,6,4,9,6,8,2,8,2,8
S,4,8,5,6,3,10,7,4,8,11,5,7,2,9,5,9
M,3,4,4,2,3,8,6,6,4,7,7,9,9,5,1,8
I,5,10,7,8,4,8,4,2,6,7,7,7,1,10,4,7
K,2,3,4,2,2,5,8,2,7,10,8,9,3,8,2,7
K,3,6,4,4,5,7,8,3,4,6,6,8,7,8,6,8
S,4,5,6,5,6,8,7,5,5,7,6,7,5,8,9,11
K,5,10,5,8,4,4,7,7,3,7,6,12,3,8,3,11
D,2,5,4,4,3,9,6,4,6,10,4,6,2,8,3,8
N,2,4,3,2,2,7,8,5,4,7,6,6,4,8,1,6
N,4,7,6,5,3,9,7,3,4,10,5,6,5,8,1,7
K,4,11,4,8,2,3,7,8,2,6,5,11,4,8,2,11
T,3,10,5,7,1,10,15,1,6,4,11,9,0,8,0,8
P,1,1,2,1,1,5,11,7,2,10,6,4,1,9,3,8
J,1,6,2,4,2,9,7,0,6,10,5,7,0,7,0,7
K,6,10,8,8,8,6,7,4,7,6,6,10,3,8,6,10
J,3,8,5,6,2,7,8,1,6,14,5,8,1,7,0,7
Z,2,5,4,4,2,7,8,2,9,11,6,8,1,8,6,8
N,3,6,3,4,3,8,7,11,1,6,6,8,5,9,0,6
N,6,11,9,9,5,12,7,4,5,10,0,4,6,8,2,8
B,3,4,4,3,3,7,7,4,6,6,6,6,5,8,6,10
Q,6,11,5,6,3,10,3,4,6,10,3,9,3,8,6,13
X,3,6,5,4,3,8,7,3,8,6,6,8,2,8,6,8
U,5,9,5,6,2,7,4,14,5,7,14,8,3,9,0,8
E,4,7,5,6,5,6,7,4,4,7,7,9,4,11,8,11
Y,3,3,4,2,1,4,11,2,7,11,10,5,1,11,2,5
Z,5,9,6,7,5,8,7,5,10,7,6,8,1,8,7,8
G,3,5,4,4,2,6,7,5,6,9,7,11,2,9,4,10
A,5,11,4,6,3,10,2,3,1,9,4,11,3,4,4,8
Z,5,10,6,8,4,9,5,3,10,11,3,10,1,8,6,10
L,2,2,3,4,2,4,4,4,7,2,1,6,0,7,1,6
X,4,11,5,8,2,7,7,4,4,7,6,8,3,8,4,8
H,2,4,4,3,3,7,7,3,5,10,6,8,3,8,2,7
L,2,3,3,2,1,6,4,2,8,8,2,10,0,7,2,8
J,6,11,8,8,6,7,7,7,6,8,7,8,3,7,4,6
V,5,7,7,6,7,8,6,5,5,7,6,8,7,10,6,7
A,4,10,7,8,4,13,2,4,4,12,1,9,3,7,4,10
X,6,12,7,7,4,8,7,2,7,11,4,6,4,8,4,7
C,2,4,3,3,1,6,8,7,7,9,7,12,1,10,4,10
R,4,9,4,4,3,9,7,3,5,9,3,8,5,7,5,8
R,4,8,5,5,3,5,11,8,3,7,4,8,3,7,6,11
P,4,10,6,8,5,6,9,6,5,9,7,3,2,10,4,6
T,1,6,2,4,1,7,13,0,4,7,10,8,0,8,0,8
X,2,1,4,2,2,7,7,3,9,6,6,8,2,8,5,8
K,6,10,9,7,7,4,8,2,7,10,10,11,4,7,4,6
O,5,9,5,7,5,8,7,7,4,10,5,8,3,8,3,7
I,1,10,0,7,0,7,7,4,4,7,6,8,0,8,0,8
O,7,11,9,8,6,8,7,9,5,7,6,6,4,8,5,10
E,3,8,4,6,5,6,7,3,4,6,7,10,4,11,8,7
A,3,9,6,7,5,8,5,0,4,6,3,7,2,7,4,5
S,5,7,6,5,3,6,9,3,8,11,5,7,2,6,5,8
Y,1,0,2,0,0,7,10,3,1,7,12,8,1,11,0,8
K,4,7,5,5,5,6,8,5,3,7,5,8,4,6,7,10
Z,3,9,4,7,2,7,7,4,13,10,6,8,0,8,8,8
X,2,4,4,2,2,7,7,1,8,10,6,8,2,8,3,7
Y,2,6,4,4,1,7,9,2,2,7,12,8,2,11,0,8
W,6,8,9,7,11,9,7,5,5,7,5,8,12,10,9,4
P,1,1,2,1,1,5,11,8,2,9,6,4,1,9,3,8
K,7,14,7,8,5,7,7,2,6,10,5,8,6,7,4,7
M,6,10,8,8,7,9,6,6,5,6,7,6,8,6,2,6
O,6,10,9,8,10,8,7,5,1,7,6,8,9,9,7,11
H,4,7,6,5,5,7,8,5,5,7,6,8,6,7,5,9
H,3,2,4,3,3,8,7,5,6,7,6,8,6,8,4,7
Z,3,8,4,6,2,7,7,3,13,10,6,8,0,8,8,8
F,7,11,6,6,3,7,8,2,8,11,6,6,2,10,5,6
X,10,15,11,8,6,7,8,2,8,11,8,8,5,12,4,7
B,2,3,3,2,2,7,7,5,5,6,5,6,2,8,5,9
B,7,11,9,8,7,10,6,4,7,10,3,7,2,8,6,12
O,5,11,7,8,5,8,5,9,5,6,6,4,5,7,5,9
G,4,8,5,6,3,6,7,6,6,10,8,10,2,9,4,9
R,4,8,6,6,5,6,8,5,6,7,5,7,6,7,5,8
J,4,6,2,9,2,12,5,2,4,9,5,7,2,9,4,11
E,3,4,3,3,3,7,7,5,8,7,6,8,2,8,6,9
H,8,11,11,8,9,9,6,3,7,10,4,8,6,8,5,8
R,5,5,7,4,6,7,7,4,3,8,5,8,7,8,6,6
L,2,3,3,4,1,0,1,5,6,0,0,6,0,8,0,8
W,4,4,6,3,3,8,11,2,2,6,9,8,7,11,0,7
S,2,6,3,4,2,9,9,5,9,5,5,5,0,7,8,8
P,6,9,9,7,4,5,15,6,2,12,5,1,0,9,4,7
P,8,11,8,6,5,9,8,4,4,12,4,4,5,10,6,7
J,5,6,3,9,3,9,7,3,3,11,4,5,3,8,6,9
P,2,7,4,5,2,5,11,3,6,11,9,5,0,9,3,6
Q,3,5,4,6,3,8,10,5,2,6,9,12,2,10,6,8
T,4,2,5,4,3,9,12,3,7,5,11,9,2,11,1,8
U,2,5,4,4,3,7,7,4,3,6,7,8,3,8,1,7
N,5,5,7,4,6,7,9,4,4,6,4,8,7,7,5,7
Q,4,6,5,8,5,7,9,5,3,8,9,9,4,10,6,7
M,5,9,7,6,7,7,7,2,4,9,8,9,7,6,2,8
D,4,6,6,4,3,11,6,3,8,11,3,6,3,8,3,9
X,2,1,3,3,2,7,7,3,8,6,6,8,2,8,6,8
B,3,7,3,5,3,6,8,9,6,6,5,7,2,8,8,9
U,3,1,4,2,1,7,8,6,8,7,10,8,3,10,1,8
I,4,10,6,8,7,8,9,3,5,9,5,4,6,9,7,2
G,4,7,4,5,3,6,7,6,6,10,7,10,2,9,4,9
J,1,4,3,3,1,9,6,2,6,14,4,8,0,7,0,8
R,5,10,6,8,7,8,5,7,3,8,6,8,6,5,6,10
H,2,4,4,3,2,7,7,3,5,10,6,8,3,8,2,8
Q,4,7,5,9,6,8,6,6,4,9,6,9,2,9,4,8
D,5,8,6,6,6,10,6,5,6,9,3,6,3,8,3,8
O,4,7,5,5,3,8,8,8,5,7,7,6,3,8,4,8
F,4,11,6,8,4,9,9,2,6,13,4,4,2,10,3,9
F,5,9,7,6,4,8,9,2,6,14,5,5,2,9,3,8
W,10,10,10,5,4,2,10,4,2,11,12,8,8,10,0,7
T,5,11,6,8,8,6,8,4,5,6,6,9,6,7,6,7
N,3,3,4,4,2,7,7,14,2,5,6,8,6,8,0,8
A,3,9,4,6,3,7,4,3,1,6,2,8,2,7,3,8
Q,3,6,4,4,2,9,7,7,6,6,6,10,3,8,5,9
Y,9,14,8,8,4,6,8,4,4,10,9,5,5,10,5,4
K,4,10,5,8,4,3,6,7,4,7,7,12,3,8,3,11
O,2,2,3,3,2,8,7,7,4,7,6,8,2,8,3,8
C,5,10,7,8,8,7,5,4,4,8,6,11,7,9,4,8
X,3,5,6,4,3,9,7,1,9,10,4,7,2,8,3,8
D,6,9,8,7,5,9,6,4,7,10,5,6,3,8,3,9
P,4,9,5,6,2,4,14,8,1,11,6,3,1,10,4,8
